ts,worker,path,method,status,latency_ms,bytes,error
2026-06-16T02:37:19.260646+00:00,1,/cart,GET,200,109.55013195052743,6879,
2026-06-16T02:37:19.262935+00:00,2,/product/2ZYFJ3GM2N,GET,200,192.82879121601582,7964,
2026-06-16T02:37:19.265793+00:00,7,/,GET,200,209.9969768896699,10499,
2026-06-16T02:37:19.274527+00:00,0,/cart,GET,200,110.74601439759135,6877,
2026-06-16T02:37:19.279082+00:00,3,/,GET,200,206.86470810323954,10499,
2026-06-16T02:37:19.279381+00:00,5,/,GET,200,210.79983795061707,10499,
2026-06-16T02:37:19.356177+00:00,6,/product/2ZYFJ3GM2N,GET,200,179.65603806078434,7978,
2026-06-16T02:37:19.381983+00:00,7,/cart,GET,200,116.14170717075467,6885,
2026-06-16T02:37:19.382419+00:00,1,/cart,GET,200,121.70366384088993,6865,
2026-06-16T02:37:19.451242+00:00,5,/,GET,200,171.8589928932488,10499,
2026-06-16T02:37:19.451991+00:00,4,/product/0PUK6V6EV0,GET,200,195.36159001290798,7950,
2026-06-16T02:37:19.452888+00:00,2,/product/0PUK6V6EV0,GET,200,189.94227424263954,7958,
2026-06-16T02:37:19.453796+00:00,0,/product/0PUK6V6EV0,GET,200,179.21898514032364,7942,
2026-06-16T02:37:19.454039+00:00,3,/product/0PUK6V6EV0,GET,200,174.90653274580836,7988,
2026-06-16T02:37:19.477117+00:00,6,/product/2ZYFJ3GM2N,GET,200,120.87735813111067,7962,
2026-06-16T02:37:19.483027+00:00,1,/cart,GET,200,100.54371785372496,6881,
2026-06-16T02:37:19.571241+00:00,7,/,GET,200,189.2216857522726,10499,
2026-06-16T02:37:19.572938+00:00,5,/,GET,200,121.61896377801895,10499,
2026-06-16T02:37:19.582014+00:00,0,/product/2ZYFJ3GM2N,GET,200,128.20005789399147,8004,
2026-06-16T02:37:19.583140+00:00,3,/product/2ZYFJ3GM2N,GET,200,129.09155897796154,7958,
2026-06-16T02:37:19.651431+00:00,2,/cart,GET,200,198.47271963953972,6887,
2026-06-16T02:37:19.652435+00:00,1,/product/2ZYFJ3GM2N,GET,200,169.38752820715308,8004,
2026-06-16T02:37:19.658045+00:00,6,/product/2ZYFJ3GM2N,GET,200,180.85511773824692,7944,
2026-06-16T02:37:19.658560+00:00,4,/,GET,200,206.53235400095582,10499,
